Date,Region,Policy,Score,Source,Notes
2020-03-23,England,C1E_School closing,3.0,"https://web.archive.org/web/20200713095253/https://www.gov.uk/government/news/schools-colleges-and-early-years-settings-to-close, https://web.archive.org/web/20200713095034/https://www.bbc.com/news/uk-51952314","20 March 2020    Schools will close from Monday 23 March, except for children of key workers and vulnerable children. I’ve coded this as Friday as it was on this day that schools were closed and told they wouldn’t reopen after the weekend.    Universities all moved to online teaching and ended in person teaching by March 23rd, so physically closed.    Government source: https://web.archive.org/web/20200713095253/https://www.gov.uk/government/news/schools-colleges-and-early-years-settings-to-close    BBC news source: https://web.archive.org/web/20200713095034/https://www.bbc.com/news/uk-51952314"
2020-06-01,England,C1E_School closing,2.0,"https://web.archive.org/web/20200713101829/https://www.gov.uk/government/publications/preparing-for-the-wider-opening-of-schools-from-1-june, https://web.archive.org/web/20200713101448/https://www.bbc.com/news/education-52792769","Boris Johnson said the government intended to reopen then for early years pupils, Reception, Year 1 and Year 6.       Government source: https://web.archive.org/web/20200713101829/https://www.gov.uk/government/publications/preparing-for-the-wider-opening-of-schools-from-1-june    BBC News Source: https://web.archive.org/web/20200713101448/https://www.bbc.com/news/education-52792769"
2020-06-15,England,C1E_School closing,2.0,"https://web.archive.org/web/20200713101829/https://www.gov.uk/government/publications/preparing-for-the-wider-opening-of-schools-from-1-june, https://web.archive.org/web/20200713101448/https://www.bbc.com/news/education-52792769","On June 15, up to a quarter of Year 10 and Year 12 will be allowed ""some contact"" to help prepare for exams.  Universities remain closed for in person teaching.    Government source: https://web.archive.org/web/20200713101829/https://www.gov.uk/government/publications/preparing-for-the-wider-opening-of-schools-from-1-june    BBC News Source: https://web.archive.org/web/20200713101448/https://www.bbc.com/news/education-52792769  "
2020-07-02,England,C1E_School closing,3.0,"https://web.archive.org/web/20200713102328/https://www.gov.uk/government/speeches/local-action-to-tackle-coronavirus, https://web.archive.org/web/20200713102809/https://www.leicester.gov.uk/your-council/coronavirus/coronavirus-in-leicester-latest-news/, https://web.archive.org/web/20200713102949/https://www.leicestershire.gov.uk/popular-now/school-term-dates, https://web.archive.org/web/20200713102154/https://www.bbc.com/news/uk-england-leicestershire-53233692",2 July     Schools closed at all levels during regional lockdown in Leicester after a spike in cases.    Schools closed for all levels from Thursday 2 July and told not to reopen until next term (September). Coded this as a 3 until the end of the school term which in Leicester is 14th July. 2G coding will therefore resume on this date to best represent the national situation.    National Government source 29th June: https://web.archive.org/web/20200713102328/https://www.gov.uk/government/speeches/local-action-to-tackle-coronavirus    Leicester City Council source: https://web.archive.org/web/20200713102809/https://www.leicester.gov.uk/your-council/coronavirus/coronavirus-in-leicester-latest-news/    Leicestershire County Council term dates: https://web.archive.org/web/20200713102949/https://www.leicestershire.gov.uk/popular-now/school-term-dates    BBC News Source: https://web.archive.org/web/20200713102154/https://www.bbc.com/news/uk-england-leicestershire-53233692  
2020-07-15,England,C1E_School closing,2.0,"https://web.archive.org/web/20200713102328/https://www.gov.uk/government/speeches/local-action-to-tackle-coronavirus, https://web.archive.org/web/20200713102809/https://www.leicester.gov.uk/your-council/coronavirus/coronavirus-in-leicester-latest-news/, https://web.archive.org/web/20200713102949/https://www.leicestershire.gov.uk/popular-now/school-term-dates, https://web.archive.org/web/20200713102154/https://www.bbc.com/news/uk-england-leicestershire-53233692",Schools closed at all levels during regional lockdown in Leicester after a spike in cases.    Schools closed for all levels from Thursday 2 July and told not to reopen until next term (September). Coded this as a 3 until the end of the school term which in Leicester is 14th July. 2G coding will therefore resume on this date to best represent the national situation.    National Government source 29th June: https://web.archive.org/web/20200713102328/https://www.gov.uk/government/speeches/local-action-to-tackle-coronavirus    Leicester City Council source: https://web.archive.org/web/20200713102809/https://www.leicester.gov.uk/your-council/coronavirus/coronavirus-in-leicester-latest-news/    Leicestershire County Council term dates: https://web.archive.org/web/20200713102949/https://www.leicestershire.gov.uk/popular-now/school-term-dates    BBC News Source: https://web.archive.org/web/20200713102154/https://www.bbc.com/news/uk-england-leicestershire-53233692  
2020-09-01,England,C1E_School closing,1.0,https://web.archive.org/web/20200914094957/https://www.gov.uk/government/news/pupils-start-returning-to-schools-in-england,"""Schools and colleges across England will start to welcome back pupils with protective measures in place to help keep young people and staff safe.""    Link: https://web.archive.org/web/20200914094957/https://www.gov.uk/government/news/pupils-start-returning-to-schools-in-england"
2020-11-05,England,C1E_School closing,1.0,https://web.archive.org/web/20201104133027/https://www.gov.uk/guidance/new-national-restrictions-from-5-november,"National lockdown comes into effect in England on 5 November. However, all levels of education are to remain open under the same covid-safe protcols as the government says they will:    ""Ensure schools, colleges and universities can stay open""    https://web.archive.org/web/20201104133027/https://www.gov.uk/guidance/new-national-restrictions-from-5-november"
2020-11-17,England,C1E_School closing,1.0,https://web.archive.org/web/20201104133027/https://www.gov.uk/guidance/new-national-restrictions-from-5-november,No change recorded.    https://web.archive.org/web/20201104133027/https://www.gov.uk/guidance/new-national-restrictions-from-5-november  
2020-11-30,England,C1E_School closing,1.0,https://web.archive.org/web/20201130195148/https://www.somersetcountygazette.co.uk/news/18907964.school-near-taunton-closed-covid-19-pupil-cases-staff-await-test-results/,On 30th November a school near Taunton is closed due to COVID-19 pupil cases and as staff await test results.      https://web.archive.org/web/20201130195148/https://www.somersetcountygazette.co.uk/news/18907964.school-near-taunton-closed-covid-19-pupil-cases-staff-await-test-results/
2020-12-11,England,C1E_School closing,1.0,https://web.archive.org/web/20201216100626/https://www.standard.co.uk/news/uk/eton-college-closes-coronavirus-outbreak-b255849.html,"Some secondary schools in England are closed due to COVID-19 outbreaks. As this is a very small number and proportion of the UK population and we're aiming to capture a significant geographical region with the T flag, I have coded this as a 0 and recorded it as a note.    https://web.archive.org/web/20201216100626/https://www.standard.co.uk/news/uk/eton-college-closes-coronavirus-outbreak-b255849.html"
