Date,Region,Policy,Score
2020-03-16,Texas,C1E_School closing,2.0
2020-03-20,Texas,C1E_School closing,3.0
2020-08-21,Texas,C1E_School closing,3.0
2020-08-26,Texas,C1E_School closing,2.0
2020-09-24,Texas,C1E_School closing,2.0
2020-10-14,Texas,C1E_School closing,1.0
2020-10-29,Texas,C1E_School closing,1.0
2020-11-08,Texas,C1E_School closing,2.0
2021-05-03,Texas,C1E_School closing,2.0
2021-05-10,Texas,C1E_School closing,1.0
2021-08-06,Texas,C1E_School closing,1.0
2021-08-11,Texas,C1E_School closing,2.0
2021-10-04,Texas,C1E_School closing,2.0
2021-10-12,Texas,C1E_School closing,1.0
2021-11-01,Texas,C1E_School closing,1.0
2021-11-12,Texas,C1E_School closing,2.0
2021-11-30,Texas,C1E_School closing,2.0
2021-12-07,Texas,C1E_School closing,0.0
2022-10-20,Texas,C1E_School closing,0.0
