Date,Region,Policy,Source
2020-03-16,Texas,C1E_School closing,"https://web.archive.org/web/20200623111934/https://tea.texas.gov/sites/default/files/Texas%20School%20Closings%20as%20of%20March%2016th%20at%209am.pdf, https://web.archive.org/web/20200429052741/https://www.statesman.com/news/20200313/coronavirus-in-austin-cancellations-school--restaurant-closures"
2020-03-20,Texas,C1E_School closing,"https://web.archive.org/web/20200617210944/https://gov.texas.gov/uploads/files/press/EO-GA_08_COVID-19_preparedness_and_mitigation_FINAL_03-19-2020_1.pdf, https://web.archive.org/web/20200611162217/https://www.dallasnews.com/news/public-health/2020/03/20/at-midnight-bars-gyms-and-massage-parlors-across-texas-close-9-things-you-need-to-know/"
2020-08-21,Texas,C1E_School closing,"https://web.archive.org/web/20200821003714/https://abc13.com/college-back-to-school-plan-university-online-fall-2020/6350823/, https://web.archive.org/web/20200821003936/https://www.texastribune.org/2020/08/20/ut-austin-students-in-person-classes/"
2020-08-26,Texas,C1E_School closing,"https://archive.fo/4zG0q, https://web.archive.org/web/20200821003714/https://abc13.com/college-back-to-school-plan-university-online-fall-2020/6350823/, https://web.archive.org/web/20200821013208/https://www.austintexas.gov/news/austin-and-travis-county-covid-19-orders-extended"
2020-09-24,Texas,C1E_School closing,"https://archive.fo/eMjET, https://archive.fo/uHcqy, https://archive.fo/1e8q7, https://archive.fo/ioGXi"
2020-10-14,Texas,C1E_School closing,"http://web.archive.org/web/20201013220042/https://gov.texas.gov/uploads/files/press/EO-GA-32_continued_response_to_COVID-19_IMAGE_10-07-2020.pdf, http://web.archive.org/web/20201016171430/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf"
2020-10-29,Texas,C1E_School closing,"http://web.archive.org/web/20201108005104/http://www.epcounty.com/documents/Order-No-13.pdf, http://web.archive.org/web/20201111173351/https://spectrumlocalnews.com/tx/san-antonio/news/2020/10/30/ut-el-paso-closes-some-campus-operations-as-coronavirus-cases-surge"
2020-11-08,Texas,C1E_School closing,"http://web.archive.org/web/20201127192226/https://www.nbcdfw.com/news/coronavirus/sanger-high-and-middle-school-closed-for-2-weeks-over-covid-19-spike/2475466/, http://web.archive.org/web/20201127192404/https://www.kvue.com/article/news/education/schools/schools-closing-covid-19-coronavirus-list-central-texas/269-fcc3f7b4-f79d-4a78-a8d1-fa7bafe0f639"
2021-05-03,Texas,C1E_School closing,"https://web.archive.org/web/20210503210407/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210327074522/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210503222346/https://www.tamu.edu/coronavirus/testing-locations/index.html, https://web.archive.org/web/20210503222427/https://www.kxan.com/texas-universities-and-schools-response-to-coronavirus/"
2021-05-10,Texas,C1E_School closing,https://web.archive.org/web/20210511015610/https://www.cnn.com/interactive/2020/health/coronavirus-schools-reopening/
2021-08-06,Texas,C1E_School closing,https://web.archive.org/web/20210816190518/https://www.texastribune.org/2021/08/06/texas-school-reopening-guidelines/
2021-08-11,Texas,C1E_School closing,"https://web.archive.org/web/20210816180724/https://www.texastribune.org/2021/08/11/texas-mask-mandates-covid-19/, https://web.archive.org/web/20210811234026/https://www.traviscountytx.gov/images/County-Judge-Order-202108.pdf"
2021-10-04,Texas,C1E_School closing,https://web.archive.org/web/20211011011027/https://www.texastribune.org/2021/09/17/texas-schools-covid-19-cases/
2021-10-12,Texas,C1E_School closing,"https://web.archive.org/web/20211024092339/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance, https://web.archive.org/web/20211024115722/https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/K-12-contact-tracing.html"
2021-11-01,Texas,C1E_School closing,"https://web.archive.org/web/20211107081321/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance, https://web.archive.org/web/20211107081331/https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/K-12-contact-tracing.html"
2021-11-12,Texas,C1E_School closing,"https://web.archive.org/web/20211115123753/https://kfoxtv.com/news/back-to-school/some-canutillo-isd-schools-will-go-to-remote-learning-friday, https://web.archive.org/web/20211115124004/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance"
2021-11-30,Texas,C1E_School closing,https://web.archive.org/web/20211115124004/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance
2021-12-07,Texas,C1E_School closing,https://web.archive.org/web/20211213032243/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance
2022-10-20,Texas,C1E_School closing,https://web.archive.org/web/20220809212406/https://www.dshs.texas.gov/
