Date,Region,Policy,source
2020-03-16,Texas,C1E_School closing,"https://web.archive.org/web/20200623111934/https://tea.texas.gov/sites/default/files/Texas%20School%20Closings%20as%20of%20March%2016th%20at%209am.pdf, https://web.archive.org/web/20200429052741/https://www.statesman.com/news/20200313/coronavirus-in-austin-cancellations-school--restaurant-closures"
2020-03-20,Texas,C1E_School closing,"https://web.archive.org/web/20200617210944/https://gov.texas.gov/uploads/files/press/EO-GA_08_COVID-19_preparedness_and_mitigation_FINAL_03-19-2020_1.pdf, https://web.archive.org/web/20200611162217/https://www.dallasnews.com/news/public-health/2020/03/20/at-midnight-bars-gyms-and-massage-parlors-across-texas-close-9-things-you-need-to-know/"
2020-04-02,Texas,C1E_School closing,"https://web.archive.org/web/20200617224156/https://gov.texas.gov/uploads/files/press/EO-GA-14_Statewide_Essential_Service_and_Activity_COVID-19_IMAGE_03-31-2020.pdf, https://web.archive.org/web/20200617224856/https://www.dallasnews.com/news/public-health/2020/03/31/texas-gov-greg-abbott-extends-social-distancing-measures-through-april-30-closes-schools-until-may-4/"
2020-05-01,Texas,C1E_School closing,https://web.archive.org/web/20200618003222/https://gov.texas.gov/uploads/files/press/EO-GA-18_expanded_reopening_of_services_COVID-19.pdf
2020-06-03,Texas,C1E_School closing,"https://web.archive.org/web/20200618020809/https://gov.texas.gov/uploads/files/press/EO-GA-26_expanded_opening_COVID-19.pdf, https://web.archive.org/web/20200618022043/https://www.fox4news.com/news/dallas-isd-says-summer-school-will-be-virtual-blended-learning-likely-for-the-fall, https://web.archive.org/web/20200618021743/https://president.utexas.edu/messages-speeches-2020/fall-2020-planning-update-june-3"
2020-07-06,Texas,C1E_School closing,"https://web.archive.org/web/20200515084052/https://news.txstate.edu/campus-community/2020/safety-is-priority-as-texas-state-university-prepares-return-to-face-to-face-instruction.html, https://web.archive.org/web/20200708073628/https://www.president.txstate.edu/communications/txst-to-extend-online-classes-through-summer-ii.html"
2020-07-23,Texas,C1E_School closing,https://web.archive.org/web/20200821003009/https://www.fox4news.com/news/back-to-school-north-texas-school-district-start-dates-delays
2020-08-03,Texas,C1E_School closing,https://web.archive.org/web/20200803203739/https://gov.texas.gov/news/post/governor-abbott-lt-governor-patrick-speaker-bonnen-chairman-taylor-chairman-huberty-release-statement-on-school-re-openings
2020-08-20,Texas,C1E_School closing,https://web.archive.org/web/20200821013208/https://www.austintexas.gov/news/austin-and-travis-county-covid-19-orders-extended
2020-08-21,Texas,C1E_School closing,"https://web.archive.org/web/20200821003714/https://abc13.com/college-back-to-school-plan-university-online-fall-2020/6350823/, https://web.archive.org/web/20200821003936/https://www.texastribune.org/2020/08/20/ut-austin-students-in-person-classes/"
2020-08-26,Texas,C1E_School closing,"https://archive.fo/4zG0q, https://web.archive.org/web/20200821003714/https://abc13.com/college-back-to-school-plan-university-online-fall-2020/6350823/, https://web.archive.org/web/20200821013208/https://www.austintexas.gov/news/austin-and-travis-county-covid-19-orders-extended"
