Date,Region,Policy,Score,Source,Notes
2020-03-18,United Kingdom,C1E_School closing,3.0,"http://web.archive.org/web/20200730045554/https://metro.co.uk/2020/03/18/northern-ireland-closes-schools-immediate-effect-12419790/, http://web.archive.org/web/20200519011018/https://www.thejournal.ie/are-schools-in-uk-closed-because-of-covid-19-5050150-Mar2020/","On March 18th, Northern Ireland closed all of its schools to pupils with immediate effect. It joins Wales, Scotland, and England in closing schools, although these countries said they would close from Friday. In Northern Ireland, schools closed at 5pm on the 18th for students, although teachers are understood to be attending for another two days.    Source 1   http://web.archive.org/web/20200730045554/https://metro.co.uk/2020/03/18/northern-ireland-closes-schools-immediate-effect-12419790/    Source 2   http://web.archive.org/web/20200519011018/https://www.thejournal.ie/are-schools-in-uk-closed-because-of-covid-19-5050150-Mar2020/  "
2020-03-23,United Kingdom,C1E_School closing,3.0,https://web.archive.org/web/20200320160258/https://www.gov.uk/government/news/schools-colleges-and-early-years-settings-to-close,"https://web.archive.org/web/20200320160258/https://www.gov.uk/government/news/schools-colleges-and-early-years-settings-to-close    ""Schools will close from Monday, except for children of key workers and vulnerable children"""
2020-04-19,United Kingdom,C1E_School closing,3.0,https://web.archive.org/web/20200426100749/https://www.gov.uk/government/publications/covid-19-school-closures/guidance-for-schools-about-temporarily-closing,"https://web.archive.org/web/20200426100749/https://www.gov.uk/government/publications/covid-19-school-closures/guidance-for-schools-about-temporarily-closing  19 Apr. Department for Education  Schools will remain closed until further notice, except for children of critical workers and vulnerable children who are encouraged to attend where it is appropriate for them to do so. We will only re-open schools when the scientific advice indicates it is safe to do so, and will consult closely with the sector on our approach."
2020-04-28,United Kingdom,C1E_School closing,3.0,https://web.archive.org/web/20200430135116/https://www.gov.uk/government/publications/covid-19-school-closures/guidance-for-schools-about-temporarily-closing,"https://web.archive.org/web/20200430135116/https://www.gov.uk/government/publications/covid-19-school-closures/guidance-for-schools-about-temporarily-closing  28 Apr. Department for Education  Schools will remain closed until further notice, except for children of critical workers and vulnerable children who are encouraged to attend where it is appropriate for them to do so. We will only re-open schools when the scientific advice indicates it is safe to do so, and will consult closely with the sector on our approach."
2020-05-20,United Kingdom,C1E_School closing,3.0,https://www.gov.uk/government/publications/closure-of-educational-settings-information-for-parents-and-carers/reopening-schools-and-other-educational-settings-from-1-june,"From the week commencing 1 June:  •	nurseries and other early year providers, including childminders, to begin welcoming back all children   •	primary schools to welcome back children in nursery (where they have them), reception, year 1 and year 6  •	secondary schools, sixth form, and further education colleges to begin some face to face support with year 10 and 12 pupils, although we do not expect these pupils to return on a full-time basis at this stage  •	all schools and childcare providers to continue to offer places to the priority groups – vulnerable children and children of critical workers – they have been supporting since the end of March  •	special schools, special post-16 institutions and hospital schools to work towards a phased return of more children and young people without a focus on specific year groups and informed by risk assessments  •	alternative provision to welcome back children in reception, year 1 and year 6 and begin some face to face support with year 10 and 11 pupils (as they have no year 12)  This approach aims to limit numbers within schools and further education settings while ensuring that the children and young people who can benefit from attending most are able to do so.  https://www.gov.uk/government/publications/closure-of-educational-settings-information-for-parents-and-carers/reopening-schools-and-other-educational-settings-from-1-june  "
2020-06-01,United Kingdom,C1E_School closing,3.0,https://web.archive.org/web/20200603201146/https://www.gov.uk/government/publications/closure-of-educational-settings-information-for-parents-and-carers/reopening-schools-and-other-educational-settings-from-1-june,"From June 1, the government is asking some school levels to open in England. These include nurseries, years 1 and 6 of primary school, and special schools such as hospital schools. The other devolved governments of the UK are not yet asking any school levels to open.     https://web.archive.org/web/20200603201146/https://www.gov.uk/government/publications/closure-of-educational-settings-information-for-parents-and-carers/reopening-schools-and-other-educational-settings-from-1-june"
2020-07-01,United Kingdom,C1E_School closing,3.0,"https://web.archive.org/web/20200607124540/https://www.gov.scot/news/schools-to-re-open-in-august/, https://web.archive.org/web/20200619120010/https://gov.wales/how-schools-will-work-during-coronavirus-pandemic, https://web.archive.org/web/20200701091252/https://www.nidirect.gov.uk/articles/coronavirus-covid-19-advice-schools-colleges-and-universities, https://web.archive.org/web/20200627201537/https://www.gov.uk/coronavirus/education-and-childcare","As of July 1st, all levels of education remain closed in Scotland and Northern Ireland, with some school levels in set to reopen in August. In Wales on 29th June some school year groups opened up for ‘check in and catch up’. In England, children in nursery, reception, year 1 and year 6 can return to school. English schools remain closed for other year groups except for children of key workers. Universities remain closed.     Scotland- https://web.archive.org/web/20200607124540/https://www.gov.scot/news/schools-to-re-open-in-august/    Wales- https://web.archive.org/web/20200619120010/https://gov.wales/how-schools-will-work-during-coronavirus-pandemic    Northern Ireland-  https://web.archive.org/web/20200701091252/https://www.nidirect.gov.uk/articles/coronavirus-covid-19-advice-schools-colleges-and-universities    England- https://web.archive.org/web/20200627201537/https://www.gov.uk/coronavirus/education-and-childcare"
2020-07-05,United Kingdom,C1E_School closing,3.0,"https://web.archive.org/web/20200607124540/https://www.gov.scot/news/schools-to-re-open-in-august/, https://web.archive.org/web/20200619120010/https://gov.wales/how-schools-will-work-during-coronavirus-pandemic, https://web.archive.org/web/20200701091252/https://www.nidirect.gov.uk/articles/coronavirus-covid-19-advice-schools-colleges-and-universities, https://web.archive.org/web/20200627201537/https://www.gov.uk/coronavirus/education-and-childcare","As of July 1st, all levels of education remain closed in Scotland and Northern Ireland, with some school levels in set to reopen in August. In Wales on 29th June some school year groups opened up for ‘check in and catch up’. In England, children in nursery, reception, year 1 and year 6 can return to school. English schools remain closed for other year groups except for children of key workers. Universities remain closed.     Scotland- https://web.archive.org/web/20200607124540/https://www.gov.scot/news/schools-to-re-open-in-august/    Wales- https://web.archive.org/web/20200619120010/https://gov.wales/how-schools-will-work-during-coronavirus-pandemic    Northern Ireland-  https://web.archive.org/web/20200701091252/https://www.nidirect.gov.uk/articles/coronavirus-covid-19-advice-schools-colleges-and-universities    England- https://web.archive.org/web/20200627201537/https://www.gov.uk/coronavirus/education-and-childcare"
2020-08-04,United Kingdom,C1E_School closing,3.0,https://web.archive.org/web/20200813090943/https://www.nidirect.gov.uk/articles/coronavirus-covid-19-advice-schools-colleges-and-universities,Schools in Northern Ireland remain closed with a plan to begin to reopen on 24/08.https://web.archive.org/web/20200813090943/https://www.nidirect.gov.uk/articles/coronavirus-covid-19-advice-schools-colleges-and-universities
2020-08-13,United Kingdom,C1E_School closing,2.0,https://web.archive.org/web/20200824143350/https://www.bbc.com/news/uk-scotland-53581785,Scottish students return to school between 13 and 18 August.     Link: https://web.archive.org/web/20200824143350/https://www.bbc.com/news/uk-scotland-53581785
